CODBAIRRO,BAIRRO,CODRA,CODRA_TXT,RA,CODRP,CODAP,SHAPESTArea,SHAPESTLength,OBJECTID
150,Sepetiba,19,XIX,Santa Cruz,5.3,5,11621330.8291016,21108.8500969009,296
116,Anil,16,XVI,Jacarepaguá,4.1,4,3500419.97900391,10834.6062556644,297
115,Jacarepaguá,16,XVI,Jacarepaguá,4.1,4,75796683.8637695,73409.8034928509,298
129,Camorim,24,XXIV,Barra da Tijuca,4.2,4,8859929.12548828,17128.1844994363,299
21,Humaitá,4,IV,Botafogo,2.1,2,1054478.12695312,7100.85605046368,300
117,Gardênia Azul,16,XVI,Jacarepaguá,4.1,4,1236294.81054688,4618.11220289715,301
28,Jardim Botânico,6,VI,Lagoa,2.1,2,2689210.85595703,12263.131762748,302
130,Vargem Pequena,24,XXIV,Barra da Tijuca,4.2,4,14438332.8813477,20648.953046888,303
24,Copacabana,5,V,Copacabana,2.1,2,4100861.03027344,12803.516402074,304
23,Leme,5,V,Copacabana,2.1,2,977201.638183594,7045.33163500074,305
27,Lagoa,6,VI,Lagoa,2.1,2,5109906.84863281,10368.0533368191,306
127,Itanhangá,24,XXIV,Barra da Tijuca,4.2,4,13197761.1748047,20400.6717356712,307
29,Gávea,6,VI,Lagoa,2.1,2,2579643.3984375,14268.5246558824,308
128,Barra da Tijuca,24,XXIV,Barra da Tijuca,4.2,4,48150757.347168,47771.8586474051,309
26,Leblon,6,VI,Lagoa,2.1,2,2153101.63183594,7188.67253997716,310
25,Ipanema,6,VI,Lagoa,2.1,2,3084915.30322266,23487.5571461335,311
31,São Conrado,6,VI,Lagoa,2.1,2,6488583,13311.9104339642,312
154,Rocinha,27,XXVII,Rocinha,2.1,2,1437198.57910156,6120.75369174591,313
153,Pedra de Guaratiba,26,XXVI,Guaratiba,5.4,5,3636921.89111328,8804.33548581616,314
132,Recreio dos Bandeirantes,24,XXIV,Barra da Tijuca,4.2,4,30655705.1962891,38561.3108068456,315
30,Vidigal,6,VI,Lagoa,2.1,2,1621382.14111328,7553.35473615937,316
126,Joá,24,XXIV,Barra da Tijuca,4.2,4,1689695.76953125,8871.30645844592,317
152,Barra de Guaratiba,26,XXVI,Guaratiba,5.4,5,9442055.26855469,27508.2230087401,318
133,Grumari,24,XXIV,Barra da Tijuca,4.2,4,9598851.52148438,23375.3740263377,319
4,Caju,1,I,Portuária,1.1,1,5347494.95947266,19800.5223090805,320
134,Deodoro,33,XXXIII,Realengo,5.1,5,4640523.62304688,12077.6639139734,321
161,Lapa,2,II,Centro,1.1,1,298326.632324219,3849.18168170996,322
160,Gericinó,17,XVII,Bangu,5.1,5,2534311.06494141,8828.55561472658,323
162,Vila Kennedy,17,XVII,Bangu,5.1,5,1473741.28125,6789.60964698977,324
